,uuid, sensorpoint
26@1042@V,5b32fd75-23fc-4ed5-889f-2acd94411b07,PresentValue
517@-110@V,5d533098-6b1c-45a5-9f14-0eb02528c56d,PresentValue
880@-110@V,65c845c5-9486-4246-ab7c-dcd9c2e32caa,PresentValue
860@-488@V,66de6344-7055-4d6c-80e6-82a96f2fe0cf,PresentValue
975@-130@V,be23a589-28c3-4e2d-8b82-3b8cdf5ba36e,PresentValue
954@-99@V,6a19c52d-739d-4ddc-83f5-f41d61f38844,PresentValue
711@1042@V,76085850-1b94-4a6e-99a2-28a56016f31a,PresentValue
886@1042@V,78290d77-9da0-4552-812e-38cfe21ac53b,PresentValue
119@1042@V,00ca54b9-1eb9-45e8-b93d-ddf4f38c91c7,PresentValue
497@-488@V,01d33657-4db1-45d6-94c7-ae6ddf1cde42,PresentValue
1084@1042@V,02835a64-58a6-4e8e-a888-99b902b2acb2,PresentValue
970@-110@V,04b829ff-043b-493b-9603-85d1806a030c,PresentValue
969@-130@V,06a279ef-341e-4444-ad12-4f3f730afe73,PresentValue
1049@-99@V,098fa351-b029-4814-a994-18d740de2108,PresentValue
398@-130@V,0c13b907-3101-4580-8c59-1e0dd8ee2acb,PresentValue
967@-495@V,0e7da612-5df4-4084-baa9-a99ac41d320d,PresentValue
541@1042@V,10b5279d-64d8-493c-bb76-bf6915afb436,PresentValue
398@-488@V,120a6509-c92c-4714-b043-802d33983889,PresentValue
829@1042@V,1224b634-7b24-4bbe-bc36-cf5eaf1a5e61,PresentValue
966@-110@V,16ff958b-23d6-49ed-9c2c-3f10d15fe95e,PresentValue
947@-488@V,1dc48ab0-c7e7-447e-ad30-c25bd654dcc3,PresentValue
692@1042@V,1de01849-7e71-48da-9107-6462a9363bce,PresentValue
635@1042@V,1fedc1be-e8b7-46fd-bb4f-34aa02bc5777,PresentValue
171@1042@V,2331c3d5-d926-4cf9-a704-f0c5ff0aa166,PresentValue
935@-110@V,24ae3a2b-06ec-4545-b89f-6a4f5ebf893c,PresentValue
1030@1042@V,2648b358-cb55-4250-8051-4c89d049c89e,PresentValue
1050@-110@V,2e1956b3-435e-49d6-ac13-a06205daf963,PresentValue
387@1042@V,36be565f-bb26-4aea-a856-5d758251312f,PresentValue
944@-118@V,36dab527-10a7-45d4-867a-a011484caea2,PresentValue
941@-110@V,378cceae-462f-4461-a9f1-38284b04da03,PresentValue
382@-110@V,3d45e8d5-a328-4865-a924-43dd3ca587e5,PresentValue
657@-110@V,3f2ffc92-bfa3-49c1-8ae0-0aed336e1947,PresentValue
941@-118@V,4580e85d-c4fd-4f09-b2c6-c363f5a4be6b,PresentValue
976@-110@V,4607dfde-b9f4-43e6-83d0-d1a74b982809,PresentValue
588@1042@V,472e417f-3c27-4a0c-b015-38aa63a90bd2,PresentValue
948@-110@V,5038070a-79ba-4a90-ac85-9ba1e9179100,PresentValue
1095@1042@V,55b67f93-2565-464e-bdd5-de6207096a3a,PresentValue
640@1042@V,59954a77-e485-4ce3-a6d7-ccb2aebb7264,PresentValue
182@1042@V,7fa0c3c1-dced-4727-ac55-fb8e76794533,PresentValue
514@1042@V,82be9ad6-6412-4e48-8a43-9e19a23ec1d2,PresentValue
315@1042@V,853285a2-742e-419e-8cfb-ab63899a87fb,PresentValue
992@1042@V,8556472c-f285-4c64-867b-a77469a8f84d,PresentValue
1046@-110@V,5fc2dac6-78f1-4bf4-9aa0-ec5978bfbc5e,PresentValue
135@1042@V,8b7b3dae-c9c2-479c-8cef-d36feddc8da2,PresentValue
643@1042@V,8cda5ac1-cd10-4bb9-a009-7a818bfc4c87,PresentValue
1001@1042@V,01aa2f8a-c80a-4bd6-90ff-60ace715197d,PresentValue
1000@1042@V,8d149143-8f9e-4d37-81c4-d73edc2315df,PresentValue
1008@-99@V,3bdcd259-1dcb-40e9-a133-4a33a59944a3,PresentValue
1008@-121@V,4298c481-ee83-4055-a73d-913719001a68,PresentValue
955@-488@V,a0c92a0b-53fd-46b4-a80f-577f99f6c7b9,PresentValue
162@1042@V,abcdfe85-058a-4732-98e6-3963f4f3e3a6,PresentValue
1010@-121@V,1225fd79-0e39-41fe-a614-189a1e0fda3c,PresentValue
1010@-118@V,2a823175-595a-4151-8b61-efa2f650c61d,PresentValue
1011@-505@V,2f73a33a-a6c5-42ba-8624-64b52ad666fe,PresentValue
1010@-479@V,338e6875-6122-4daf-ae87-da2d62968a7c,PresentValue
1011@-479@V,3424b3b2-ac96-4655-bdd9-4263275dcf4f,PresentValue
1013@-497@V,38ba1590-2111-4c3f-bbf9-c99feebf2a27,PresentValue
1011@-130@V,4d525b87-85b3-4de4-a8d6-5bffdf0aa7f9,PresentValue
1011@-99@V,527b8367-b21e-4a16-af43-4a0bf15f52f2,PresentValue
1013@-118@V,5b44694f-088f-44f8-a926-9afff3469322,PresentValue
1011@-121@V,6dbc9d13-8803-425d-9ddb-8b921b4c9748,PresentValue
1012@-121@V,7a7983fb-169f-44e4-8d49-31ad079d7123,PresentValue
1013@-495@V,7ab30423-d2cb-43c1-8907-e41c5071a877,PresentValue
1013@-488@V,83e8fd0e-e563-4c53-8d11-fe272f0fd2aa,PresentValue
1011@-497@V,8a1be482-a91f-485b-b323-6d8fd852d6aa,PresentValue
1010@-130@V,ac2a43a1-ef0d-43cb-b81b-0abd58f15a30,PresentValue
421@1042@V,adc8115d-08fc-48a4-9e94-49b4ea75d386,PresentValue
954@-110@V,aeb97739-fee1-4bdc-abd4-7296447febc7,PresentValue
1010@-495@V,dc63088b-0bee-4a92-bbe9-71e5bf95b341,PresentValue
1011@-488@V,e07e7fee-4e71-4024-bba5-1cd23d051112,PresentValue
1010@-497@V,e9487ca9-259f-4de7-a15a-b17aee8642ff,PresentValue
1010@-488@V,f48268b4-1687-42ca-b833-93f1b4a96c74,PresentValue
1010@-505@V,f5ca4de5-e15e-4b70-8736-26dc337df3d4,PresentValue
1013@-99@V,b13b06ab-7d9f-4d29-83da-ca4918e4f082,PresentValue
1008@-118@V,b2bc14e2-dce6-498e-877c-d79d63f7de8a,PresentValue
877@1042@V,b4993fc0-dd3a-4b1c-862b-49d70495ed63,PresentValue
496@-110@V,a078191d-49d9-4624-b6c9-a804dc29865e,PresentValue
649@1042@V,b4c09b9d-86ca-42c2-930b-d071d80e7f5e,PresentValue
622@1042@V,be6e1a34-a9d7-48b8-9d5c-50eb97c6e038,PresentValue
196@1042@V,c8f662d0-62d8-4cdd-ae39-035e8c08aeb5,PresentValue
1020@1042@V,b71516ca-dd48-4474-943a-5b13586439a4,PresentValue
908@1042@V,cdc5a0bb-ae1c-4987-9197-d243371bcdc3,PresentValue
149@1042@V,d1a8526b-e416-4e52-ab90-6d82d3bb7070,PresentValue
404@1042@V,d69449e4-b99a-42cc-a4bb-b969c4a30829,PresentValue
1091@1042@V,d9b41f8d-a4df-44dc-ac84-32721e7ebe07,PresentValue
28@1042@V,dce7a06f-5f1a-4f0c-ab91-db88268e9576,PresentValue
1019@1042@V,e2f514af-0270-4264-802d-3dc1efa648d2,PresentValue
72@1042@V,e4cffca6-49a7-4820-b7ca-b06077d30fca,PresentValue
1059@1042@V,e884fbe1-de60-41c9-b4bf-4c85692975e5,PresentValue
1010@-110@V,ef3595b0-462a-4eb1-96a5-e1e61981f1ca,PresentValue
1032@1042@V,f3f4f748-4081-46b0-8fd9-33f28ac1bbef,PresentValue
1048@-99@V,14ac1b90-4b33-4e8f-bc17-d12100e9f9a2,PresentValue
1046@-121@V,207a5429-b314-4011-b745-98c2f077811e,PresentValue
1046@-488@V,2885cced-3951-48a9-968e-d4b7ae61b057,PresentValue
1048@-505@V,31dfa48f-0216-48bc-b777-ee4adaa8545c,PresentValue
1048@-118@V,4820bf8f-d226-4e9a-a30c-dfe08756de44,PresentValue
1047@-110@V,4baa2b4d-12a3-415d-b7d3-8e43e680df29,PresentValue
1047@-488@V,58414f62-ea21-48cb-b452-458d56d2c73d,PresentValue
1047@-505@V,5ec8d1c2-74be-4de6-9c4b-d4dafd44d7fe,PresentValue
1048@-110@V,608ad3ff-b607-4f1b-b5f4-e6f323cf61a3,PresentValue
1046@-505@V,697cb79e-da11-4686-bc01-807a6692383a,PresentValue
1046@-118@V,6b8d198d-4bf6-49b6-803a-cfd7570a8c53,PresentValue
1047@-130@V,80078b49-b95f-4587-9b25-16c701a9d4b7,PresentValue
1047@-479@V,8c6e3ccf-9cc2-47fd-b196-815978e698ab,PresentValue
1046@-479@V,90f13eb2-f5af-4250-81d6-78d2510f0d61,PresentValue
1046@-497@V,a02d2a8f-32c6-4321-b8b4-ca0f7fd0dc2b,PresentValue
1047@-99@V,b3c47aad-9f2d-4736-9b4e-f3825dcb8dda,PresentValue
1048@-497@V,b4dd9101-fa3f-4c15-a848-d0e60322f1d9,PresentValue
1046@-495@V,bd56a5a6-cfba-4aae-a1a6-d17da98ada93,PresentValue
1047@-118@V,c9b6c6ee-3573-4cab-a26f-2c3f69e890a7,PresentValue
697@1042@V,fd773462-94f6-47f3-a3e7-cf8fa304bb47,PresentValue
1049@-497@V,15cb4f24-e780-4c86-9018-01fddb345bd6,PresentValue
1049@-505@V,1e93117d-a5e8-4395-91b4-f2cd60ac91e8,PresentValue
1049@-495@V,2aeccb73-06d4-4fec-88cf-51575cf47af9,PresentValue
1050@-488@V,42e2ee9b-1ce5-43d8-bf64-0e554febf92a,PresentValue
1050@-505@V,4af0d202-62dc-41f9-be20-9c900b059538,PresentValue
1049@-118@V,4afe6bb7-2387-4c5e-b4a0-79eae5ed3042,PresentValue
1049@-121@V,4b569b86-9725-4b8d-a1a5-1a11006ffca9,PresentValue
1048@-479@V,a0b239b0-27f0-4f66-9f88-9e94b9651c23,PresentValue
1049@-110@V,a7630ebb-c7c8-460d-91c7-ae66ba13f47a,PresentValue
1049@-488@V,e198063e-2c87-4a18-882b-e45f8754e7e4,PresentValue
1048@-488@V,e9c3aeb4-979e-4ebb-8550-4561f9fc0d26,PresentValue
1050@-118@V,f96e4ffc-7874-4cc8-8ddd-288c2a56baca,PresentValue
1050@-479@V,fd06aa73-1a9e-4014-8bbc-ed617de22869,PresentValue
1066@1042@V,320f703e-3605-4bb9-a648-50d48ad68473,PresentValue
107@1042@V,5b8cce84-f2bc-4f23-b735-cf7ea7300d0f,PresentValue
1087@1042@V,9e19abe2-48b0-4597-9465-e4aac2fb1924,PresentValue
1099@-121@V,2d6dccb6-cd62-4f69-a3c9-7ab6ff33fcbf,PresentValue
1099@-479@V,45957c68-03e5-461f-bf39-e5428514868c,PresentValue
1099@-488@V,45aabb4f-e9d5-454e-8d6e-5d970f866e7a,PresentValue
1099@-130@V,51ad28e6-f112-40b2-9f05-a3a0f76f9cac,PresentValue
1100@-110@V,7614215d-32ec-4ffc-b907-4cb121e3a810,PresentValue
1099@-505@V,bf61c127-45ff-446a-9f2e-2aa157f36185,PresentValue
1099@-497@V,f39559af-2fbb-4206-9667-910de9a140b3,PresentValue
597@-110@V,c4c4a55e-62eb-49f7-aae5-4ef5768a22ee,PresentValue
129@1042@V,6aeb05a2-bb7c-433e-ab98-846117a9c401,PresentValue
621@-110@V,54f45bab-ee08-4389-9946-8f0fbe70bfee,PresentValue
138@1042@V,f3c12b92-e900-461e-aad1-1e181b5bafbd,PresentValue
673@-495@V,0c2f7125-9063-41d4-84a0-a777aacae517,PresentValue
673@-479@V,8475fab1-a4d5-474a-9cff-b154df3fe57b,PresentValue
191@1042@V,cfc4dc2e-e989-462b-a1be-7ea6049e056d,PresentValue
201@1042@V,aaee70df-c53c-4bda-8589-fda0bcdb07d4,PresentValue
